City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Sindou,BF,88.83,scattered clouds,10.6667,-5.1667,LERABA HOTEL
462,Porto-Vecchio,FR,83.86,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
463,Wajir,KE,85.96,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
464,Kavieng,PG,80.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
465,Korla,CN,79.48,clear sky,41.7597,86.1469,Gulisitan Hotel
468,Shahr-E Babak,IR,79.03,clear sky,30.1165,55.1186,Duna Ecolodge
469,Quesnel,CA,79.3,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
470,Uelzen,DE,78.12,overcast clouds,52.9667,10.5667,AKZENT Hotel Deutsche Eiche
471,Auki,SB,75.27,broken clouds,-8.7676,160.7034,Auki Motel
475,Alekseyevka,RU,76.23,broken clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
476,Borazjan,IR,87.13,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
478,Naifaru,MV,79.52,moderate rain,5.4444,73.3657,Naifaru Residence Guest House
479,Sao Filipe,CV,75.99,scattered clouds,14.8961,-24.4956,Hotel Xaguate
480,Hinganghat,IN,81.81,overcast clouds,20.5667,78.8333,Ravindra Lokhande
481,Half Moon Bay,US,80.96,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
482,Belmonte,BR,80.6,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
484,Vaitape,PF,79.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
485,Kampong Chhnang,KH,79.68,scattered clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
487,Nortelandia,BR,88.05,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
488,Cabras,IT,79.92,clear sky,39.93,8.5314,Hotel Villa Canu
492,Kralendijk,BQ,89.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
493,Darnah,LY,83.3,clear sky,32.767,22.6367,فندق الفردوس
498,Pekan Nenas,MY,78.78,overcast clouds,1.51,103.5141,Village Custle
499,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
501,Bogalusa,US,88.36,clear sky,30.791,-89.8487,Traveler's Rest Motel
511,Brandenburg,DE,80.55,overcast clouds,52.4167,12.55,SEEHOTEL Brandenburg a.d. Havel
515,San Carlos,VE,84.47,light rain,9.6612,-68.5827,Hotel Paternopoli
520,Kutum,SD,80.85,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
522,San Jose,US,83.53,scattered clouds,37.3394,-121.895,The Westin San Jose
526,Eston,CA,78.69,overcast clouds,51.1501,-108.7514,Hearthside Place B&B
527,Coahuayana,MX,78.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
529,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
533,Sydney Mines,CA,77.0,overcast clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
535,Trairi,BR,86.07,overcast clouds,-3.2778,-39.2689,janelas do mar
540,Hirado,JP,76.35,overcast clouds,33.3597,129.5531,Samson Hotel
541,Manokwari,ID,77.7,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
542,Assiniboia,CA,75.11,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
543,Ahuimanu,US,78.85,broken clouds,21.4447,-157.8378,Paradise Bay Resort
546,Komsomolskiy,UZ,81.82,clear sky,40.4272,71.7189,Ikathouse
548,Batticaloa,LK,81.64,broken clouds,7.7102,81.6924,Grand Star Guest House
551,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
566,Shizuishan,CN,84.06,broken clouds,39.2333,106.7694,Xingji Hotel
571,Medicine Hat,CA,85.44,few clouds,50.0501,-110.6683,Sun Dek Motel
575,Hobyo,SO,77.86,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
577,Samarai,PG,78.42,scattered clouds,-10.6167,150.6667,Nuli Sapi
578,Casa Nova,BR,85.98,clear sky,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
580,Ipixuna,BR,78.75,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
584,Dzerzhinsk,RU,75.02,fog,56.2389,43.4631,Hotel Druzhba
585,Menomonie,US,77.52,clear sky,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
588,Ankola,IN,78.64,light rain,14.6667,74.3,Hotel Kamat Plus
591,Yangjiang,CN,81.84,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
592,Thai Binh,VN,89.6,overcast clouds,20.45,106.3333,Sweden Hotel
594,Daru,PG,76.89,broken clouds,-9.0763,143.2092,Daru Lodge
597,Yanam,IN,81.7,broken clouds,16.7333,82.2167,The Regency Hotel
598,Hutang,CN,77.13,overcast clouds,31.5333,119.4833,Dongyuan Restaurant
599,Saysain,PH,84.24,overcast clouds,14.5611,120.3925,Sky Home
601,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
602,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
604,Labuhan,ID,78.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
605,Topeka,US,77.58,light rain,39.0483,-95.678,Capitol Plaza Hotel Topeka
609,Jawhar,SO,75.31,overcast clouds,2.7809,45.5005,hantiwadaag village part one
613,Ozinki,RU,82.2,scattered clouds,51.1786,49.6769,Korolevskiy Dvor
616,Santa Marta,CO,80.94,broken clouds,11.2408,-74.199,Casa de Isabella
618,Koungou,YT,76.71,broken clouds,-12.7336,45.2042,Villa Netibor
620,Cobija,BO,87.98,broken clouds,-11.0267,-68.7692,Hotel Obelisco
622,Kulhudhuffushi,MV,82.62,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
624,Qiryat Shemona,IL,84.99,clear sky,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
625,Senahu,GT,75.06,overcast clouds,15.4,-89.8333,"Casserio Se'soch, Senahuq A.V"
627,Santa Clara,CU,87.46,scattered clouds,22.4,-79.9667,El Carmen
628,Sechura,PE,76.33,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
629,Hamilton,US,88.92,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
631,Shirgaon,IN,82.78,light rain,19.7,72.7,"Samarth Krupa Farm, Palghar"
633,Coromandel,BR,76.96,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
638,Kisangani,CD,78.57,broken clouds,0.5167,25.2,Grand Ramela Hotel
639,Bumba,CD,77.31,broken clouds,2.1833,22.4667,Hôtel Cape Town
642,Maragogi,BR,77.16,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
643,Nantucket,US,81.97,overcast clouds,41.2835,-70.0995,Jared Coffin House
646,Playa Del Carmen,MX,87.82,broken clouds,20.6274,-87.0799,Hotel Kinbe
647,Rosarito,MX,82.2,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
650,Biak,ID,75.2,scattered clouds,-0.9131,122.8766,Penginapan Kim
652,Augusto Correa,BR,82.83,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
653,Libreville,GA,80.62,few clouds,0.3925,9.4537,Hotel Re-Ndama
658,Saravena,CO,79.81,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
660,Grand-Santi,GF,89.69,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
669,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
672,Arona,ES,75.99,few clouds,28.0996,-16.681,Paradise Court
673,Tevaitoa,PF,80.51,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
676,Biograd Na Moru,HR,84.9,clear sky,43.9433,15.4519,Hotel Palma
680,Oliver,CA,87.71,clear sky,49.1831,-119.5524,Cactus Tree Inn
681,Gaozhou,CN,80.08,overcast clouds,21.9392,110.8461,望江楼旅业
