City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Inirida,CO,2021-06-27 00:21:12,3.8653,-67.9239,74.01,95,63,1.74
209,Gat,IL,2021-06-27 00:20:05,31.61,34.7642,73.99,88,0,1.74
210,Ahipara,NZ,2021-06-27 00:21:12,-35.1667,173.1667,62.78,82,100,15.82
211,Nyrob,RU,2021-06-27 00:21:13,60.733,56.7202,58.01,93,49,1.14
212,Lebu,CL,2021-06-27 00:20:03,-37.6167,-73.65,45.21,77,1,14.5
213,Batagay-Alyta,RU,2021-06-27 00:21:13,67.8006,130.4114,77.61,30,29,12.39
214,Bambous Virieux,MU,2021-06-27 00:19:37,-20.3428,57.7575,71.22,81,40,7.25
215,Xinqing,CN,2021-06-27 00:21:14,48.2333,129.5,78.85,48,28,2.17
216,Khargapur,IN,2021-06-27 00:21:14,24.823,79.144,85.37,64,82,3.89
217,Roald,NO,2021-06-27 00:21:14,62.5833,6.1333,55.4,58,20,6.91
218,Balikpapan,ID,2021-06-27 00:21:15,-1.2675,116.8289,77.34,88,97,4.27
219,Altamira,BR,2021-06-27 00:21:02,-3.2033,-52.2064,75.61,77,80,2.44
220,Camopi,GF,2021-06-27 00:21:15,3.1655,-52.3158,71.26,99,80,2.8
221,Pangai,TO,2021-06-27 00:21:15,-19.8,-174.35,75.47,59,78,24.74
222,Acapulco,MX,2021-06-27 00:21:16,16.8634,-99.8901,78.62,83,90,4.61
223,Vila Velha,BR,2021-06-27 00:21:16,-20.3297,-40.2925,67.95,88,40,3.44
224,Leningradskiy,RU,2021-06-27 00:21:16,69.3833,178.4167,53.2,46,97,3.53
225,Tuatapere,NZ,2021-06-27 00:19:50,-46.1333,167.6833,49.82,86,99,3.4
226,The Valley,AI,2021-06-27 00:21:17,18.217,-63.0578,82.0,78,20,16.11
227,Padang,ID,2021-06-27 00:21:17,-0.9492,100.3543,73.45,85,84,3.58
228,Biled,RO,2021-06-27 00:21:17,45.8864,20.9589,63.18,68,8,6.55
229,Provost,CA,2021-06-27 00:21:18,52.3501,-110.2683,88.25,46,12,12.68
230,Jaguaribe,BR,2021-06-27 00:21:18,-5.8906,-38.6219,80.42,42,45,4.21
231,Baykit,RU,2021-06-27 00:21:18,61.67,96.37,46.89,91,100,4.27
232,Thinadhoo,MV,2021-06-27 00:21:19,0.5333,72.9333,82.44,73,99,11.36
233,Nanakuli,US,2021-06-27 00:21:19,21.3906,-158.1547,85.1,59,20,9.22
234,Thyboron,DK,2021-06-27 00:21:20,56.6985,8.2124,57.99,3,68,17.16
235,Kununurra,AU,2021-06-27 00:21:20,-15.7667,128.7333,69.78,35,99,11.5
236,Walvis Bay,NA,2021-06-27 00:21:20,-22.9575,14.5053,67.15,27,0,2.3
237,Narayanganj,BD,2021-06-27 00:21:20,23.6233,90.5011,82.42,86,56,7.67
238,Panacan,PH,2021-06-27 00:21:21,9.2463,118.4082,80.6,78,75,4.61
239,Necochea,AR,2021-06-27 00:21:21,-38.5473,-58.7368,46.0,92,100,4.0
240,Lahaina,US,2021-06-27 00:16:58,20.8783,-156.6825,89.6,66,44,6.58
241,Asyut,EG,2021-06-27 00:21:22,27.181,31.1837,82.4,42,0,6.91
242,Kilindoni,TZ,2021-06-27 00:21:22,-7.9139,39.6668,76.37,68,0,11.56
243,Kavieng,PG,2021-06-27 00:21:22,-2.5744,150.7967,83.84,70,100,7.18
244,Sribne,UA,2021-06-27 00:21:23,50.6638,32.9187,66.04,95,35,4.43
245,Hurricane,US,2021-06-27 00:21:23,37.1753,-113.2899,101.5,12,68,8.12
246,Takoradi,GH,2021-06-27 00:21:23,4.8845,-1.7554,75.54,92,100,7.0
247,Masindi,UG,2021-06-27 00:21:24,1.6744,31.715,62.89,75,84,3.85
248,Mahebourg,MU,2021-06-27 00:21:24,-20.4081,57.7,71.26,81,29,7.81
249,Avera,US,2021-06-27 00:20:14,33.194,-82.5271,84.74,69,66,6.11
250,Saldanha,ZA,2021-06-27 00:19:34,-33.0117,17.9442,54.12,81,35,8.75
251,Belaya Gora,RU,2021-06-27 00:21:25,68.5333,146.4167,86.11,21,67,9.22
252,Ribeira Grande,PT,2021-06-27 00:21:25,38.5167,-28.7,68.14,79,15,11.95
253,Aykhal,RU,2021-06-27 00:21:25,66.0,111.5,68.72,57,50,10.38
254,Olivehurst,US,2021-06-27 00:21:25,39.0955,-121.5522,107.35,27,1,5.75
255,Comodoro Rivadavia,AR,2021-06-27 00:21:26,-45.8667,-67.5,37.4,70,0,8.05
256,Shagonar,RU,2021-06-27 00:21:26,51.5333,92.8,55.89,79,98,5.41
257,Tasiilaq,GL,2021-06-27 00:19:30,65.6145,-37.6368,48.36,66,1,8.9
258,Camacha,PT,2021-06-27 00:21:27,33.0833,-16.3333,65.53,63,75,11.5
259,Imeni Babushkina,RU,2021-06-27 00:21:27,59.7573,43.1285,64.09,97,30,4.97
260,Mumford,GH,2021-06-27 00:21:27,5.2618,-0.759,75.76,89,100,10.27
261,Iquique,CL,2021-06-27 00:21:27,-20.2208,-70.1431,60.84,81,95,4.47
262,Jati,PK,2021-06-27 00:21:28,24.3539,68.2671,82.94,67,64,16.6
263,Punta Alta,AR,2021-06-27 00:21:28,-38.8759,-62.0736,45.7,74,100,20.15
264,Saint-Philippe,RE,2021-06-27 00:20:10,-21.3585,55.7679,71.15,79,14,6.44
265,Bac Lieu,VN,2021-06-27 00:19:07,9.285,105.7244,82.45,75,8,4.68
266,Santa Maria,BR,2021-06-27 00:21:29,-29.6842,-53.8069,59.0,100,75,12.66
267,Leirvik,NO,2021-06-27 00:21:29,59.7798,5.5005,57.63,78,100,11.16
268,Mandalgovi,MN,2021-06-27 00:21:29,45.7625,106.2708,77.04,24,98,12.03
269,Olinda,BR,2021-06-27 00:21:30,-8.0089,-34.8553,71.33,73,20,9.22
270,Porto Novo,BJ,2021-06-27 00:21:30,6.4965,2.6036,76.82,94,89,4.38
271,Nizhniy Odes,RU,2021-06-27 00:21:30,63.6445,54.856,57.96,55,99,3.69
272,Khorixas,NA,2021-06-27 00:21:31,-20.3667,14.9667,63.48,28,3,7.72
273,Tiarei,PF,2021-06-27 00:21:31,-17.5333,-149.3333,84.22,75,2,3.11
274,Lumberton,US,2021-06-27 00:21:31,34.6182,-79.0086,83.34,73,55,8.97
275,Constitucion,CL,2021-06-27 00:19:32,-35.3333,-72.4167,44.71,72,0,8.55
276,Cidreira,BR,2021-06-27 00:21:32,-30.1811,-50.2056,62.56,97,100,4.0
277,San Quintin,MX,2021-06-27 00:20:05,30.4833,-115.95,69.71,68,0,17.18
278,Puerto Baquerizo Moreno,EC,2021-06-27 00:21:32,-0.9,-89.6,71.71,79,29,9.48
279,Tyup,KG,2021-06-27 00:21:32,42.7276,78.3648,53.15,76,27,4.23
280,Husavik,IS,2021-06-27 00:21:33,66.0449,-17.3389,58.91,63,66,4.52
281,Salinas,US,2021-06-27 00:21:33,36.6777,-121.6555,92.57,65,1,16.11
282,Diego De Almagro,CL,2021-06-27 00:21:34,-26.3667,-70.05,51.33,66,100,1.07
283,Andros Town,BS,2021-06-27 00:21:34,24.7,-77.7667,80.56,70,15,16.13
284,Escarcega,MX,2021-06-27 00:21:34,18.6089,-90.7454,87.39,55,92,4.65
285,Tiksi,RU,2021-06-27 00:19:43,71.6872,128.8694,34.43,89,100,7.76
286,Sept-Iles,CA,2021-06-27 00:18:18,50.2001,-66.3821,61.32,89,75,1.99
287,Soyo,AO,2021-06-27 00:21:35,-6.1349,12.3689,73.06,94,46,5.1
288,Nambour,AU,2021-06-27 00:21:35,-26.6333,152.95,60.85,72,100,1.01
289,Yulara,AU,2021-06-27 00:21:35,-25.2406,130.9889,46.24,66,9,9.22
290,Esperance,AU,2021-06-27 00:21:36,-33.8667,121.9,44.6,81,0,16.11
291,Kyren,RU,2021-06-27 00:21:36,51.6828,102.1408,55.13,99,100,1.97
